abstract,access_type,article_number,authors,citing_paper_count,conference_dates,conference_location,content_type,doi,download_count,eisbn,eissn,end_page,html_url,index_terms,is_open_access,isbn,issn,issue,pdf_url,publication_date,publication_title,publication_year,publisher,start_page,title,volume
"Science and technology are changing rapidly, and the development of [::generative::] [::artificial::] [::intelligence::] represented by ChatGPT provides more possibilities for empowering students&#39; personalized learning. This paper analyzes the educational application of [::generative::] [::artificial::] [::intelligence::] in personalized learning and combs through the theoretical basis of [::gener...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11091882,Xiaoyi Liu; Xiangchun He,0,,,IEEE Conferences,10.1109/CSTE64638.2025.11091882,19,,,1086,,,False,,,,,18-20 April 2025,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),2025,IEEE,1081,Theoretical Model and Internal Mechanism of Generative Artificial Intelligence Empowering Personalized Learning,
"The advent of [::generative::] [::artificial::] [::intelligence::] (AI) has ignited an increase in discussions about [::generative::] AI tools in education. In this study, a human-centered learning and teaching framework that uses [::generative::] AI tools for self-regulated learning development through domain knowledge learning was proposed to catalyze changes in educational practices. The framew...","{'type': 'open-access', 'message': 'Open Access'}",10507034,Siu-Cheung Kong; Yin Yang,0,,,IEEE Journals,10.1109/TLT.2024.3392830,13874,,,1573,,,False,,,,,2024,IEEE Transactions on Learning Technologies,2024,IEEE,1562,A Human-Centered Learning and Teaching Framework Using Generative Artificial Intelligence for Self-Regulated Learning Development Through Domain Knowledge Learning in K–12 Settings,17
"This study conducts a systematic comparative analysis of [::artificial::] [::intelligence::] (AI) integration in primary music education between China and Korea. Utilizing a mixed-methods framework, the research examines policy frameworks, pedagogical implementations, and educator perceptions through policy document analysis, classroom observations, and semi-structured interviews with 20 music edu...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11158697,Qiang Wan; Jincheng Ma,0,,,IEEE Conferences,10.1109/ICAIE64856.2025.11158697,7,,,698,,,False,,,,,14-16 May 2025,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2025,IEEE,695,Artificial Intelligence and Music Education: A Comparative Study of Primary Music Education in China and Korea,
"“Lexi” is a light of clarity in a world where legal complexity frequently makes comprehension difficult. It is a tool that uses the revolutionary potential of [::generative::] [::Artificial::] [::Intelligence::] (AI) to completely change the process of producing legal documents. To simplify legal language and improve the accessibility and comprehension of legal documents, this paper introduces Lex...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10717541,Thippaluri Yahid Basha; Barma Kalyani; Yelisetti Sandeep,0,,,IEEE Conferences,10.1109/ICCIGST60741.2024.10717541,335,,,6,,,False,,,,,18-19 July 2024,2024 International Conference on Computational [::Intelligence::] for Green and Sustainable Technologies (ICCIGST),2024,IEEE,1,Generative Artificial Intelligence in Legal Drafting,
"The development and adoption of AI have brought numerous problems and potential threats, such as information cocoons, algorithmic collusion, algorithmic bias, privacy, law and ethics problems or issues. To combat these issues, governments all over the world, international organizations and giant tech companies all take actions and reach an agreement that AI should be trusted AI. However, there is ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9724346,Tao Zhang; Yi Qin; Qiang Li,0,,,IEEE Conferences,10.1109/TrustCom53373.2021.00207,1123,,,1462,,,False,,,,,20-22 Oct. 2021,"2021 IEEE 20th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",2021,IEEE,1458,Trusted Artificial Intelligence: Technique Requirements and Best Practices,
"The manufacturing sector is in a challenging spot. Confronted with persistent cost pressures, supply chain instability, and disruptive technologies like as 3D printing and the Internet of Things. The industry must consistently optimise processes, enhance efficiency, and improve overall equipment performance. Simultaneously, there is a significant surge in sustainability and energy transition. Manu...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10758970,Ndala Yves Mulongo,0,,,IEEE Conferences,10.1109/ISNCC62547.2024.10758970,407,,,6,,,False,,,,,22-25 Oct. 2024,"2024 International Symposium on Networks, Computers and Communications (ISNCC)",2024,IEEE,1,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence,
"Summary GenAI is a groundbreaking subset of AI &#x2013; the cutting edge of the cutting edge &#x2013; that is able to create new content based on patterns and structures it has learned from existing data. Like any AI, GenAI tools are given enormous amounts of data to learn from (what&#39;s known as &#x201c;training data&#x201d;). [::Generative::] adversarial networks work by pitting two competing a...","{'type': 'locked', 'message': 'Full text access may be available.'}",10953124,Bernard Marr,0,,,Wiley Books,,0,,,16,,,False,,,,,,[::Generative::] AI in Practice: 100+ Amazing Ways [::Generative::] [::Artificial::] [::Intelligence::] is Changing Business and Society,2024,Wiley,3,UNVEILING GENERATIVE AI: A NEW FRONTIER,
"An era of highly tailored and effective content generation has been ushered in by the rapid advancement of [::artificial::] [::intelligence::] (AI), which has completely transformed the social media marketing scene. An innovative AI method called [::Generative::] Adversarial Networks (GANs) has become a potent tool for automating the creation of engaging social media content. Marketers may easily ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10957230,Sakshi Singh; Darshan Kaur,0,,,IEEE Conferences,10.1109/AICECS63354.2024.10957230,113,,,6,,,False,,,,,12-14 Dec. 2024,"2024 Third International Conference on [::Artificial::] [::Intelligence::], Computational Electronics and Communication System (AICECS)",2024,IEEE,1,AI-Driven Automation in Social Media Marketing: Leveraging GANs for Content Creation,
"The role of [::Artificial::] [::Intelligence::] (AI) in Cyber Security is evolving day by day. For a Chief Information Security Officer (CISO), to perform their role and to assist their team in performing various tasks related to Cyber Security, and to help their management with a Cyber-resilient organisation, A wide variety of Cyber Security solutions knowledge, knowledge related to the current e...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10141395,S. Guru Prasad; V. Ceronmani Sharmila; M.K. Badrinarayanan,0,,,IEEE Conferences,10.1109/ICAAIC56838.2023.10141395,2001,,,114,,,False,,,,,4-6 May 2023,2023 2nd International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),2023,IEEE,107,Role of Artificial Intelligence based Chat Generative Pre-trained Transformer (ChatGPT) in Cyber Security,
"This thematic review paper delves into the transformative role of [::Artificial::] [::Intelligence::] (AI) in the field of interior architecture design. The integration of AI technologies into interior architecture is reshaping the way spaces are conceived, designed, and utilized, offering creativity and efficiency. Current research revealed that there is still a lack of review papers exploring th...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10933045,Noor Hafizah; Aysha Mnea; Mohd Zairul,0,,,IEEE Conferences,10.1109/CSPA64953.2025.10933045,213,,,99,,,False,,,,,7-8 Feb. 2025,2025 21st IEEE International Colloquium on Signal Processing & Its Applications (CSPA),2025,IEEE,94,The Role of Artificial Intelligence (AI) in Interior Architecture Design: Thematic Review,
