unified_index,source_database,original_index
3316,ebsco,3344@ebsco
3316,ieee,1369@ieee
3781,ebsco,3821@ebsco
3781,ieee,1152@ieee
3784,ebsco,3824@ebsco
3784,ieee,1734@ieee
3785,ebsco,3825@ebsco
3785,ieee,3360@ieee
3799,ebsco,3839@ebsco
3799,ieee,403@ieee
3801,ebsco,3841@ebsco
3801,ieee,1663@ieee
3811,ebsco,3851@ebsco
3811,ieee,1208@ieee
3812,ebsco,3852@ebsco
3812,ieee,1824@ieee
3813,ebsco,3853@ebsco
3813,ieee,3206@ieee
3815,ebsco,3855@ebsco
3815,ieee,1626@ieee
3818,ebsco,3858@ebsco
3818,ieee,1429@ieee
3833,ebsco,3873@ebsco
3833,ieee,3343@ieee
3836,ebsco,3876@ebsco
3836,ieee,4515@ieee
3838,ebsco,3878@ebsco
3838,ieee,2797@ieee
3923,ebsco,3963@ebsco
3923,ieee,4087@ieee
4095,ebsco,4145@ebsco
4095,ieee,832@ieee
4099,ebsco,4149@ebsco
4099,ieee,1148@ieee
4130,ebsco,4180@ebsco
4130,ieee,4256@ieee
4133,ebsco,4183@ebsco
4133,ieee,2973@ieee
4482,ebsco,4536@ebsco
4482,ieee,4950@ieee
