article_id,title,abstract,authors,publication_title,publication_year,publication_date,doi,document_type,publisher,volume,issue,page_start,page_end,keywords,pdf_url,access_type,is_open_access,peer_reviewed,citation_count,source_databases,original_indices
,Artificial Intelligence,"Artificial Intelligence is an indispensable text for teaching and learning artificial intelligence. It focuses to study the concepts of artificial intelligence. It helps to learn the methods of solving problems using artificial intelligence. It also introduce the concepts of expert systems and machine learning. Features: P Student friendly –written in a clear, concise and lucid manner P A sincere attempt has been made to introduce the basic concepts P Each chapter is organized into small sections that address key topics P In-depth coverage and good style are emphasized P Motivates the unmotivated P Explains the philosophy behind the artificial intelligence P Covers both elementary as well as advanced concepts P Aids understanding of concepts by providing diagrams and program listings wherever appropriate P Logical flow of concepts starting from the preliminary topics to the major topics","Bhuvaneswari, B",,,20210101,,,Astral International Pvt Ltd,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>,,,,False,,ebsco,6@ebsco
,"Artificial Intelligence : Ethical, Social, and Security Impacts for the Present and the Future","A global perspective on AI AI is much more than just a simple tool powering our smartphones or allowing us to ask Alexa about the latest cinema times. It is a technology that is, in very subtle but unmistakable ways, exerting an ever-increasing influence over our lives – and the more we use it, the more AI is altering our existence. The rise of AI and super-intelligent AI raises ethical issues. AI is the power behind Google's search engine, enables social media sites to serve up targeted advertising, and gives Alexa and Siri their voices. It is also the technology enabling self-driving vehicles, predictive policing, and autonomous weapons that have the ability to kill without direct human intervention. All of these bring up complex ethical issues that are still unresolved and will continue to be the subject of ongoing debate. There are untold how-to books on AI technology, replete with methods to improve and advance the statistics and algorithms of AI; however, the social, ethical and security impacts are often at best a secondary consideration – if discussed at all. This book explores the complex topic of AI ethics in a cross-functional way, alternating between theory and practice. Practical and recent events, and their associated challenges, are presented, such as the collateral effects of the COVID-19 pandemic on the application of AI technologies. The book also gives an up-to-date overview of the potential positive and negative outcomes of AI implementations together with an analysis of AI from an ethical perspective. Before you dive into a world populated with AI, read this book to understand the associated ethical challenges of AI technologies",Julie Mehan,,,20220101,,,ITGP,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; LAW / Communications; LAW / Criminal Law / General; LAW / Computer &amp; Internet; Data protection--Technological innovations; <mark>Artificial intelligence</mark>--Moral and ethical aspects; <mark>Artificial intelligence</mark>--Social aspects,,,,False,,ebsco,3@ebsco
,"Artificial Intelligence : Ethical, Social, and Security Impacts for the Present and the Future, Second Edition","A global perspective on AI The rise of AI and super-intelligent AI raises ethical issues. AI is the power behind Google's search engine, enables social media sites to serve up targeted advertising, gives Alexa and Siri their voices, and enables OpenAI's ChatGPT to produce written responses from just a few prompts by the user. It is also the technology enabling self-driving vehicles, predictive policing, and autonomous weapons that can kill without direct human intervention. All of these bring up complex ethical issues that are still unresolved and will continue to be the subject of ongoing debate. This book: Explores the complex topic of AI ethics in a cross-functional way; Enables understanding of the associated ethical challenges of AI technologies; Provides an up-to-date overview of the potential positive and negative outcomes of AI implementations; and Has been updated to reflect the ethical challenges of AI in 2024 and beyond, and the moral imperative of navigating this new terrain. This book presents a concrete approach to identifying appropriate ethical principles in AI solutions",Julie Mehan,,,20240101,,,ITGP,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; LAW / Communications; LAW / Criminal Law / General; LAW / Computer &amp; Internet; Data protection--Technological innovations; <mark>Artificial intelligence</mark>--Moral and ethical aspects; <mark>Artificial intelligence</mark>--Social aspects,,,,False,,ebsco,1@ebsco
,Artificial Intelligence : Its Philosophy and Neural Context,"Originally published in 1986, in order to probe, dispute and analyse the role of artificial intelligence in cybernetic thought and information science, the author pursues this topic within its philosophical, behavioral and neurophysiological contexts, while drawing attention to cognitive issues. By elucidating the problems and potential associated with knowledge-based systems, the book emphasized the need to examine artificial intelligence in its own right.",F. H. George,Routledge Library Editions. <mark>Artificial Intelligence</mark>,,20180101,,,Routledge,,,,,PSYCHOLOGY / General; PSYCHOLOGY / Cognitive Psychology &amp; Cognition; Information science; <mark>Artificial intelligence</mark>,,,,False,,ebsco,8@ebsco
,"Artificial Intelligence : Reflections in Philosophy, Theology, and the Social Sciences","This book discusses major issues of the current AI debate from the perspectives of philosophy, theology, and the social sciences: Can AI have a consciousness? Is superintelligence possible and probable? How does AI change individual and social life? Can there be artificial persons? What influence does AI have on religious worldviews? In Western societies, we are surrounded by artificially intelligent systems. Most of these systems are embedded in online platforms. But embodiments of AI, be it by voice or by actual physical embodiment, give artificially intelligent systems another dimension in terms of their impact on how we perceive these systems, how they shape our communication with them and with fellow humans and how we live and work together. AI in any form gives a new twist to the big questions that humanity has concerned herself with for centuries: What is consciousness? How should we treat each other - what is right and what is wrong? How do our creations change the world we are living in? Which challenges do we have to face in the future?",Benedikt Paul Goecke; Astrid Marieke Rosenthal-von der Pütten,,,20200101,,,Brill | mentis,,,,,PHILOSOPHY / Mind &amp; Body; <mark>Artificial intelligence</mark>--Philosophy; <mark>Artificial intelligence</mark>; <mark>Artificial intelligence</mark>--Moral and ethical aspects,,,,False,,ebsco,7@ebsco
,"Artificial Intelligence: Advances, Ethics and Strategies","The field of artificial intelligence is rapidly evolving, and one of the most exciting developments in recent years has been the emergence of generative models. These models have shown the ability to produce human-like language and even generate images, videos, and music. While the potential applications of generative models are vast and impressive, there are also serious concerns about the ethical implications of their use. As the potential of AI and generative models is explored, it is essential to consider the impact they may have on society. AI must be used in a way that is ethical, transparent, and beneficial to all of society. This will require collaboration between government, industry, and academia to ensure that the AI developed is reliable, trustworthy, and aligned with public policy goals.",James M. Nichols,"Computer Science, Technology and Applications",,20240101,,,SNOVA,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>; <mark>Artificial intelligence</mark>--Moral and ethical aspects,,,,False,,ebsco,0@ebsco
10953885.0,Artificial Intelligence: An Asset for the Financial Sector,"Summary Nothing is permanent except change, and technology change is continuously evolving over the years; we have moved from radio to television and now to the web slowly and gradually where we are adopting AI. AI is nothing but performing its cognitive functions to extract and solve the problem more efficiently and effectively than humans. AI has successfully managed to erect what is thought ...",Swati Bandi; Anil Kothari,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022.0,,10.1002/9781119710301.ch16,Wiley Books,Wiley,,,259.0,287.0,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0.0,ieee,5@ieee
,"Artificial Intelligence: Background, Risks and Policies","The field of artificial intelligence (AI) has gone through multiple waves of advancement over the decades. Today, AI can broadly be thought of as computerized systems that work and react in ways commonly thought to require intelligence, such as the ability to learn, solve problems, and achieve goals under uncertain and varying conditions. The field encompasses a range of methodologies and application areas, including machine learning (ML), natural language processing, and robotics. AI holds potential benefits and opportunities, but also challenges and pitfalls. For example, AI technologies can accelerate and provide insights into data processing; augment human decision-making; optimize performance for complex tasks and systems; and improve safety for people in dangerous occupations. On the other hand, AI systems may perpetuate or amplify bias, may not yet be fully able to explain their decision-making, and often depend on vast datasets that are not widely accessible to facilitate research and development (R&amp;D). Further, stakeholders have questioned the adequacy of human capital in both the public and private sectors to develop and work with AI, as well as the adequacy of current laws and regulations for dealing with societal and ethical issues that may arise. Together, such challenges can lead to an inability to fully assess and understand the operations and outputs of AI systems.",Gary Dalton,"Computer Science, Technology and Applications",,20240101,,,SNOVA,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>,,,,False,,ebsco,2@ebsco
,"Artificial Intelligence: Crime, War, and Justice","Artificial Intelligence (AI) plays a key role in crime and prevention, armed conflicts, and in the criminal and civil justice system development. This edited volume provides a cross-disciplinary approach, with contributions from legal and IT specialists, on a range of issues relating to uses, restrictions, and regulation of AI in law enforcement, warfare, and justice. Through a series of examples, international experts discuss the effect of AI on preventing crimes, and in the development of weapons and military strategies. This work also explains how AI can benefit the enforcement and justice system and the creation of a fairest judicial system that respects human rights without bias. Contributions include: The use of Artificial Intelligence (AI) by criminals; Law enforcement trade-offs between Privacy and Safety; The use of Unmanned Vehicles; The first AI war; Regulation of Autonomous Weapon Systems in warfare; Automated Justice; AI and Discrimination; and the use of AI in Judicial Appeals.",Nathalie Rébé,,,20230101,,,Ethics International Press,,,,,"COMPUTERS / <mark>Artificial Intelligence</mark> / General; COMPUTERS / Social Aspects; SOCIAL SCIENCE / Criminology; Justice, Administration of--Computer network resources",,,,False,,ebsco,4@ebsco
,"Artificial Intelligence: Work, Machines and Human Interaction","Today, many Americans are concerned about the impact that artificial intelligence and machine learning will have on jobs. This book examines the impact of these factors on the workforce, including issues related to worker displacement, retraining of the current workforce, and developing a skilled technical workforce of the future that can thrive in an economy in which AI increasingly plays a role.",Tonya Randolph,"Computer Science, Technology and Applications Ser",,20210101,,,SNOVA,,,,,COMPUTERS / <mark>Artificial Intelligence</mark> / General; <mark>Artificial intelligence</mark>,,,,False,,ebsco,5@ebsco
10953938.0,Effect of Artificial Intelligence on Human Resource Profession: A Paradigm Shift,"Summary Human Resources are one of the most important resources in a business organization. Due to the advent of Information Technology, Human Resource Management (HRM) has witnessed a paradigm shift. The unprecedented development in the field of IT has positively influenced organizational practices. [::Artificial::] [::Intelligence::] (AI) which is IT&#x2010;based technology has come to be rec...",Jyoti Dashora; Karunesh Saxena,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022.0,,10.1002/9781119710301.ch4,Wiley Books,Wiley,,,57.0,71.0,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0.0,ieee,1@ieee
