article_id,title,subtitle,abstract,authors,publication_title,publication_year,publication_date,doi,isbn,issn,document_type,publisher,language,volume,issue,page_start,page_end,page_count,keywords,pdf_url,stable_url,access_type,is_open_access,peer_reviewed,citation_count,conference_location,source_databases,original_indices
11091882,Theoretical Model and Internal Mechanism of Generative Artificial Intelligence Empowering Personalized Learning,,"Science and technology are changing rapidly, and the development of [::generative::] [::artificial::] [::intelligence::] represented by ChatGPT provides more possibilities for empowering students&#39; personalized learning. This paper analyzes the educational application of [::generative::] [::artificial::] [::intelligence::] in personalized learning and combs through the theoretical basis of [::gener...",Xiaoyi Liu; Xiangchun He,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),2025,18-20 April 2025,10.1109/CSTE64638.2025.11091882,,,IEEE Conferences,IEEE,,,,1081,1086,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,0@ieee
10507034,A Human-Centered Learning and Teaching Framework Using Generative Artificial Intelligence for Self-Regulated Learning Development Through Domain Knowledge Learning in K–12 Settings,,"The advent of [::generative::] [::artificial::] [::intelligence::] (AI) has ignited an increase in discussions about [::generative::] AI tools in education. In this study, a human-centered learning and teaching framework that uses [::generative::] AI tools for self-regulated learning development through domain knowledge learning was proposed to catalyze changes in educational practices. The framew...",Siu-Cheung Kong; Yin Yang,IEEE Transactions on Learning Technologies,2024,2024,10.1109/TLT.2024.3392830,,,IEEE Journals,IEEE,,17,,1562,1573,,,,,"{'type': 'open-access', 'message': 'Open Access'}",False,,0,,ieee,1@ieee
11158697,Artificial Intelligence and Music Education: A Comparative Study of Primary Music Education in China and Korea,,"This study conducts a systematic comparative analysis of [::artificial::] [::intelligence::] (AI) integration in primary music education between China and Korea. Utilizing a mixed-methods framework, the research examines policy frameworks, pedagogical implementations, and educator perceptions through policy document analysis, classroom observations, and semi-structured interviews with 20 music edu...",Qiang Wan; Jincheng Ma,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2025,14-16 May 2025,10.1109/ICAIE64856.2025.11158697,,,IEEE Conferences,IEEE,,,,695,698,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,2@ieee
10717541,Generative Artificial Intelligence in Legal Drafting,,"“Lexi” is a light of clarity in a world where legal complexity frequently makes comprehension difficult. It is a tool that uses the revolutionary potential of [::generative::] [::Artificial::] [::Intelligence::] (AI) to completely change the process of producing legal documents. To simplify legal language and improve the accessibility and comprehension of legal documents, this paper introduces Lex...",Thippaluri Yahid Basha; Barma Kalyani; Yelisetti Sandeep,2024 International Conference on Computational [::Intelligence::] for Green and Sustainable Technologies (ICCIGST),2024,18-19 July 2024,10.1109/ICCIGST60741.2024.10717541,,,IEEE Conferences,IEEE,,,,1,6,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,3@ieee
9724346,Trusted Artificial Intelligence: Technique Requirements and Best Practices,,"The development and adoption of AI have brought numerous problems and potential threats, such as information cocoons, algorithmic collusion, algorithmic bias, privacy, law and ethics problems or issues. To combat these issues, governments all over the world, international organizations and giant tech companies all take actions and reach an agreement that AI should be trusted AI. However, there is ...",Tao Zhang; Yi Qin; Qiang Li,"2021 IEEE 20th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",2021,20-22 Oct. 2021,10.1109/TrustCom53373.2021.00207,,,IEEE Conferences,IEEE,,,,1458,1462,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,4@ieee
10758970,Optimisation of Manufacturing Workflow Through Generative Artificial Intelligence,,"The manufacturing sector is in a challenging spot. Confronted with persistent cost pressures, supply chain instability, and disruptive technologies like as 3D printing and the Internet of Things. The industry must consistently optimise processes, enhance efficiency, and improve overall equipment performance. Simultaneously, there is a significant surge in sustainability and energy transition. Manu...",Ndala Yves Mulongo,"2024 International Symposium on Networks, Computers and Communications (ISNCC)",2024,22-25 Oct. 2024,10.1109/ISNCC62547.2024.10758970,,,IEEE Conferences,IEEE,,,,1,6,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,5@ieee
10953124,UNVEILING GENERATIVE AI: A NEW FRONTIER,,"Summary GenAI is a groundbreaking subset of AI &#x2013; the cutting edge of the cutting edge &#x2013; that is able to create new content based on patterns and structures it has learned from existing data. Like any AI, GenAI tools are given enormous amounts of data to learn from (what&#39;s known as &#x201c;training data&#x201d;). [::Generative::] adversarial networks work by pitting two competing a...",Bernard Marr,[::Generative::] AI in Practice: 100+ Amazing Ways [::Generative::] [::Artificial::] [::Intelligence::] is Changing Business and Society,2024,,,,,Wiley Books,Wiley,,,,3,16,,,,,"{'type': 'locked', 'message': 'Full text access may be available.'}",False,,0,,ieee,6@ieee
10957230,AI-Driven Automation in Social Media Marketing: Leveraging GANs for Content Creation,,"An era of highly tailored and effective content generation has been ushered in by the rapid advancement of [::artificial::] [::intelligence::] (AI), which has completely transformed the social media marketing scene. An innovative AI method called [::Generative::] Adversarial Networks (GANs) has become a potent tool for automating the creation of engaging social media content. Marketers may easily ...",Sakshi Singh; Darshan Kaur,"2024 Third International Conference on [::Artificial::] [::Intelligence::], Computational Electronics and Communication System (AICECS)",2024,12-14 Dec. 2024,10.1109/AICECS63354.2024.10957230,,,IEEE Conferences,IEEE,,,,1,6,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,7@ieee
10141395,Role of Artificial Intelligence based Chat Generative Pre-trained Transformer (ChatGPT) in Cyber Security,,"The role of [::Artificial::] [::Intelligence::] (AI) in Cyber Security is evolving day by day. For a Chief Information Security Officer (CISO), to perform their role and to assist their team in performing various tasks related to Cyber Security, and to help their management with a Cyber-resilient organisation, A wide variety of Cyber Security solutions knowledge, knowledge related to the current e...",S. Guru Prasad; V. Ceronmani Sharmila; M.K. Badrinarayanan,2023 2nd International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),2023,4-6 May 2023,10.1109/ICAAIC56838.2023.10141395,,,IEEE Conferences,IEEE,,,,107,114,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,8@ieee
10933045,The Role of Artificial Intelligence (AI) in Interior Architecture Design: Thematic Review,,"This thematic review paper delves into the transformative role of [::Artificial::] [::Intelligence::] (AI) in the field of interior architecture design. The integration of AI technologies into interior architecture is reshaping the way spaces are conceived, designed, and utilized, offering creativity and efficiency. Current research revealed that there is still a lack of review papers exploring th...",Noor Hafizah; Aysha Mnea; Mohd Zairul,2025 21st IEEE International Colloquium on Signal Processing & Its Applications (CSPA),2025,7-8 Feb. 2025,10.1109/CSPA64953.2025.10933045,,,IEEE Conferences,IEEE,,,,94,99,,,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0,,ieee,9@ieee
