unified_index,source_database,original_index
46,ebsco,46@ebsco
46,ieee,271@ieee
63,ebsco,63@ebsco
63,ieee,440@ieee
78,ebsco,78@ebsco
78,ieee,849@ieee
87,ebsco,87@ebsco
87,ieee,489@ieee
88,ebsco,88@ebsco
88,ieee,247@ieee
90,ebsco,90@ebsco
90,ieee,438@ieee
102,ebsco,102@ebsco
102,ieee,925@ieee
103,ebsco,103@ebsco
103,ieee,78@ieee
107,ebsco,107@ebsco
107,ieee,219@ieee
113,ebsco,113@ebsco
113,ieee,498@ieee
114,ebsco,114@ebsco
114,ieee,324@ieee
115,ebsco,115@ebsco
115,ieee,357@ieee
122,ebsco,122@ebsco
122,ieee,31@ieee
140,ebsco,140@ebsco
140,ieee,754@ieee
144,ebsco,144@ebsco
144,ieee,297@ieee
148,ebsco,148@ebsco
148,ieee,700@ieee
149,ebsco,149@ebsco
149,ieee,292@ieee
151,ebsco,151@ebsco
151,ieee,65@ieee
157,ebsco,157@ebsco
157,ieee,652@ieee
158,ebsco,158@ebsco
158,ieee,495@ieee
170,ebsco,170@ebsco
170,ieee,725@ieee
182,ebsco,182@ebsco
182,ieee,663@ieee
183,ebsco,183@ebsco
183,ieee,660@ieee
196,ebsco,196@ebsco
196,ieee,236@ieee
197,ebsco,197@ebsco
197,ieee,235@ieee
211,ebsco,211@ebsco
211,ieee,656@ieee
220,ebsco,220@ebsco
220,ieee,367@ieee
222,ebsco,222@ebsco
222,ieee,902@ieee
225,ebsco,225@ebsco
225,ieee,798@ieee
286,ebsco,287@ebsco
286,ieee,36@ieee
298,ebsco,299@ebsco
298,ieee,351@ieee
299,ebsco,300@ebsco
299,ieee,417@ieee
300,ebsco,301@ebsco
300,ieee,82@ieee
301,ebsco,302@ebsco
301,ieee,124@ieee
303,ebsco,304@ebsco
303,ieee,83@ieee
304,ebsco,305@ebsco
304,ieee,273@ieee
305,ebsco,306@ebsco
305,ieee,77@ieee
306,ebsco,307@ebsco
306,ieee,377@ieee
307,ebsco,308@ebsco
307,ieee,95@ieee
308,ebsco,309@ebsco
308,ieee,419@ieee
309,ebsco,310@ebsco
309,ieee,626@ieee
315,ebsco,316@ebsco
315,ieee,698@ieee
